"V1","V2"
399.6916,0
400.1737,0.1048857
400.6559,0.1047245
401.138,0.1043435
401.6201,0.1035556
402.1023,0.1022106
402.5844,0.1003037
403.0666,0.09803613
403.5487,0.09572434
404.0308,0.09367965
404.513,0.09207805
404.9951,0.09093878
405.4772,0.09014586
405.9594,0.0895502
406.4415,0.08904367
406.9236,0.08861715
407.4058,0.08833353
407.8879,0.08827079
408.3701,0.0884348
408.8522,0.08874505
409.3343,0.08904555
409.8165,0.08919859
410.2986,0.08915105
410.7807,0.08899201
411.2629,0.08891216
411.745,0.08913444
412.2271,0.08980213
412.7093,0.09093434
413.1914,0.09239953
413.6736,0.09397586
414.1557,0.09542324
414.6378,0.09656894
415.12,0.09734559
415.6021,0.09778803
416.0843,0.09798069
416.5664,0.09801973
417.0485,0.09797179
417.5307,0.09787945
418.0128,0.09776001
418.4949,0.0976259
418.9771,0.09747793
419.4592,0.09731064
419.9413,0.09710114
420.4235,0.09682682
420.9056,0.09647579
421.3878,0.0960767
421.8699,0.09570004
422.352,0.09544872
422.8342,0.09541722
423.3163,0.09565783
423.7984,0.09615113
424.2806,0.09681399
424.7627,0.09752239
425.2448,0.09816345
425.727,0.09866715
426.2091,0.09903064
426.6913,0.09929759
427.1734,0.0995292
427.6555,0.09976213
428.1377,0.1000006
428.6198,0.1002162
429.102,0.1003835
429.5841,0.1005005
430.0662,0.1006056
430.5484,0.1007603
431.0305,0.1010253
431.5126,0.1014278
431.9948,0.1019515
432.4769,0.102541
432.959,0.1031306
433.4412,0.1036708
433.9233,0.1041473
434.4055,0.1045751
434.8876,0.1049838
435.3697,0.1053878
435.8519,0.1057822
436.334,0.1061431
436.8161,0.1064507
437.2983,0.1067069
437.7804,0.106942
438.2625,0.1071971
438.7447,0.107499
439.2268,0.1078333
439.709,0.1081393
440.1911,0.1083273
440.6732,0.1083199
441.1554,0.1080873
441.6375,0.1076715
442.1196,0.1071723
442.6018,0.1067132
443.0839,0.1063926
443.566,0.1062548
444.0482,0.1062803
444.5303,0.1064117
445.0125,0.1065892
445.4946,0.1067865
445.9767,0.1070233
446.4589,0.107355
446.941,0.107838
447.4232,0.1084986
447.9053,0.1093077
448.3874,0.1101883
448.8696,0.1110341
449.3517,0.1117472
449.8338,0.112262
450.316,0.1125624
450.7981,0.1126731
451.2802,0.1126457
451.7624,0.1125401
452.2445,0.1124143
452.7267,0.1123176
453.2088,0.1122905
453.6909,0.1123608
454.1731,0.1125414
454.6552,0.1128255
455.1373,0.1131866
455.6195,0.1135831
456.1016,0.1139733
456.5837,0.1143264
457.0659,0.1146344
457.548,0.114912
458.0302,0.1151888
458.5123,0.1154902
458.9944,0.1158287
459.4766,0.1161924
459.9587,0.1165545
460.4409,0.1168779
460.923,0.1171295
461.4051,0.1172827
461.8873,0.1173209
462.3694,0.1172333
462.8515,0.1170167
463.3337,0.1166772
463.8158,0.1162403
464.2979,0.1157542
464.7801,0.1152894
465.2622,0.114924
465.7444,0.1147284
466.2265,0.1147457
466.7086,0.1149831
467.1908,0.1154103
467.6729,0.1159727
468.155,0.116603
468.6372,0.1172366
469.1193,0.1178159
469.6014,0.1182964
470.0836,0.118643
470.5657,0.1188362
471.0479,0.1188766
471.53,0.118794
472.0121,0.1186468
472.4943,0.1185132
472.9764,0.1184688
473.4586,0.1185651
473.9407,0.1188099
474.4228,0.1191694
474.905,0.1195788
475.3871,0.1199698
475.8692,0.1202922
476.3514,0.1205308
476.8335,0.1207017
477.3156,0.1208401
477.7978,0.1209775
478.2799,0.121131
478.7621,0.1212965
479.2442,0.1214596
479.7263,0.1216065
480.2085,0.1217353
480.6906,0.1218558
481.1727,0.1219859
481.6549,0.1221406
482.137,0.1223298
