"V1","V2"
399.6916,0
400.1737,0.07255532
400.6559,0.07199137
401.138,0.07113832
401.6201,0.06990507
402.1023,0.06822284
402.5844,0.06614073
403.0666,0.06385906
403.5487,0.06166746
404.0308,0.05984535
404.513,0.05857827
404.9951,0.05791776
405.4772,0.05779872
405.9594,0.05808198
406.4415,0.05861129
406.9236,0.05925368
407.4058,0.05991898
407.8879,0.06054266
408.3701,0.06106078
408.8522,0.06140467
409.3343,0.06152392
409.8165,0.06143456
410.2986,0.06125157
410.7807,0.06117106
411.2629,0.0614095
411.745,0.06211168
412.2271,0.06328124
412.7093,0.06475321
413.1914,0.06623123
413.6736,0.06738594
414.1557,0.06796782
414.6378,0.06789925
415.12,0.06728692
415.6021,0.06635514
416.0843,0.0653536
416.5664,0.0644716
417.0485,0.0637917
417.5307,0.06328954
418.0128,0.06287852
418.4949,0.06246765
418.9771,0.0620106
419.4592,0.0615225
419.9413,0.06106599
420.4235,0.0607167
420.9056,0.06053353
421.3878,0.06053811
421.8699,0.06071283
422.352,0.06101375
422.8342,0.0613887
423.3163,0.06179456
423.7984,0.06221052
424.2806,0.06263978
424.7627,0.06310404
425.2448,0.06363445
425.727,0.06425704
426.2091,0.06497724
426.6913,0.06576738
427.1734,0.06656453
427.6555,0.06727981
428.1377,0.06781946
428.6198,0.06811659
429.102,0.06815726
429.5841,0.06799464
430.0662,0.06773601
430.5484,0.06750872
431.0305,0.06741811
431.5126,0.06751739
431.9948,0.0677959
432.4769,0.06819192
432.959,0.06861768
433.4412,0.06899247
433.9233,0.06926548
434.4055,0.06942084
434.8876,0.06947112
435.3697,0.06944229
435.8519,0.06936371
436.334,0.0692661
436.8161,0.06918526
437.2983,0.0691654
437.7804,0.06925298
438.2625,0.06948096
438.7447,0.06985247
439.2268,0.0703304
439.709,0.07084139
440.1911,0.07129601
440.6732,0.07161841
441.1554,0.07177366
441.6375,0.07177897
442.1196,0.07169411
442.6018,0.07159349
443.0839,0.07153726
443.566,0.0715517
444.0482,0.07162818
444.5303,0.0717384
445.0125,0.07185862
