"V1","V2"
399.6916,0
400.1737,0.2127509
400.6559,0.2141942
401.138,0.21698
401.6201,0.2204421
402.1023,0.2236984
402.5844,0.2260734
403.0666,0.2273972
403.5487,0.2280234
404.0308,0.2285388
404.513,0.2293476
404.9951,0.2304581
405.4772,0.2314905
405.9594,0.2319367
406.4415,0.2315047
406.9236,0.2303396
407.4058,0.2289658
407.8879,0.2279745
408.3701,0.2277099
408.8522,0.2281003
409.3343,0.2287323
409.8165,0.2290688
410.2986,0.2287569
410.7807,0.2277956
411.2629,0.2265066
411.745,0.2253174
412.2271,0.2245333
412.7093,0.2242241
413.1914,0.2242594
413.6736,0.2244578
414.1557,0.2247571
414.6378,0.2252906
415.12,0.2263238
415.6021,0.2280852
416.0843,0.2305945
416.5664,0.2335757
417.0485,0.2365044
417.5307,0.2387829
418.0128,0.2400048
418.4949,0.240139
418.9771,0.2395225
419.4592,0.2386572
419.9413,0.2379628
420.4235,0.2376153
420.9056,0.2375485
421.3878,0.237565
421.8699,0.2374996
422.352,0.2373189
422.8342,0.2371321
423.3163,0.2370986
423.7984,0.2373169
424.2806,0.2377576
424.7627,0.23828
425.2448,0.2387188
425.727,0.2389953
426.2091,0.2391664
426.6913,0.2393973
427.1734,0.239855
427.6555,0.2406038
428.1377,0.2415583
428.6198,0.2425218
429.102,0.2432829
429.5841,0.2437422
430.0662,0.2439656
430.5484,0.2441505
431.0305,0.2445183
431.5126,0.2451911
431.9948,0.2461258
432.4769,0.2471346
432.959,0.2479789
433.4412,0.248494
433.9233,0.2486676
434.4055,0.248638
434.8876,0.2486061
435.3697,0.2487262
435.8519,0.2490301
436.334,0.2494264
436.8161,0.2497658
437.2983,0.2499417
437.7804,0.2499567
438.2625,0.2499212
438.7447,0.2499908
439.2268,0.2502677
439.709,0.2507399
440.1911,0.2512795
440.6732,0.2517022
441.1554,0.2518641
441.6375,0.2517349
442.1196,0.251411
442.6018,0.2510601
443.0839,0.250836
443.566,0.2508091
444.0482,0.2509478
444.5303,0.2511562
445.0125,0.2513414
445.4946,0.2514701
445.9767,0.2515823
446.4589,0.2517572
446.941,0.2520551
447.4232,0.2524717
447.9053,0.2529341
448.3874,0.2533408
448.8696,0.2536225
449.3517,0.2537867
449.8338,0.2539186
450.316,0.2541372
450.7981,0.2545307
451.2802,0.2551076
451.7624,0.2557922
452.2445,0.2564627
452.7267,0.2570126
453.2088,0.2573986
453.6909,0.2576496
454.1731,0.2578322
454.6552,0.2579982
455.1373,0.2581431
455.6195,0.2582123
456.1016,0.2581357
456.5837,0.2578869
457.0659,0.2575141
457.548,0.2571321
458.0302,0.2568694
458.5123,0.2568035
458.9944,0.2569191
459.4766,0.2571151
459.9587,0.2572576
460.4409,0.2572519
460.923,0.257093
461.4051,0.2568683
461.8873,0.2567121
462.3694,0.2567359
462.8515,0.2569711
463.3337,0.2573575
463.8158,0.2577725
464.2979,0.2580965
464.7801,0.2582687
465.2622,0.2583093
465.7444,0.2582985
466.2265,0.2583238
466.7086,0.2584378
467.1908,0.2586376
467.6729,0.2588838
468.155,0.2591392
468.6372,0.2593965
469.1193,0.2596871
469.6014,0.2600524
470.0836,0.2605071
470.5657,0.2610115
471.0479,0.2614761
471.53,0.261798
472.0121,0.2619105
472.4943,0.2618173
472.9764,0.2615918
473.4586,0.2613351
473.9407,0.2611257
474.4228,0.2609824
474.905,0.2608644
475.3871,0.2607069
475.8692,0.2604742
476.3514,0.2601936
476.8335,0.2599555
477.3156,0.2598746
477.7978,0.2600324
478.2799,0.260435
478.7621,0.2610045
479.2442,0.2616078
479.7263,0.2621149
480.2085,0.2624515
480.6906,0.2626222
481.1727,0.2626947
481.6549,0.262758
482.137,0.2628775
482.6191,0.2630721
483.1013,0.26332
483.5834,0.2635897
484.0656,0.2638643
484.5477,0.2641569
485.0298,0.2644984
485.512,0.2649084
485.9941,0.2653734
486.4763,0.2658437
486.9584,0.2662491
487.4405,0.2665352
487.9227,0.2666881
488.4048,0.2667424
488.8869,0.2667588
489.3691,0.2667948
489.8512,0.2668764
490.3333,0.26699
490.8155,0.2670984
491.2976,0.2671691
491.7798,0.2671976
492.2619,0.2672142
492.744,0.267269
493.2262,0.2674059
493.7083,0.2676414
494.1904,0.2679603
494.6726,0.2683267
495.1547,0.2687099
495.6368,0.2690972
496.119,0.2694964
496.6011,0.2699194
497.0833,0.2703622
497.5654,0.2707922
498.0475,0.2711554
498.5297,0.2713999
499.0118,0.2715049
499.494,0.2714935
499.9761,0.2714268
500.4582,0.2713768
500.9404,0.2713939
501.4225,0.2714863
501.9046,0.2716233
502.3868,0.2717559
502.8689,0.2718485
503.351,0.2718979
503.8332,0.2719331
504.3153,0.2719943
504.7975,0.2721066
505.2796,0.2722629
505.7617,0.272426
506.2439,0.2725523
506.726,0.2726177
507.2081,0.2726346
507.6903,0.2726472
508.1724,0.2727074
508.6545,0.2728462
509.1367,0.2730563
509.6188,0.2732964
510.101,0.2735135
510.5831,0.2736738
511.0652,0.2737803
511.5474,0.2738695
512.0295,0.2739893
512.5117,0.274169
512.9938,0.2744011
513.476,0.2746443
513.9581,0.2748448
514.4402,0.2749686
514.9224,0.2750181
515.4045,0.2750346
515.8866,0.2750736
516.3688,0.2751779
516.8509,0.2753568
517.333,0.2755848
517.8152,0.2758197
518.2973,0.2760312
518.7794,0.2762169
519.2616,0.2764034
519.7437,0.2766255
520.2258,0.276902
520.708,0.2772155
521.1901,0.2775163
521.6722,0.277743
522.1544,0.2778521
522.6365,0.2778411
523.1187,0.2777496
523.6008,0.2776415
524.0829,0.2775777
524.5651,0.2775913
525.0472,0.2776817
525.5294,0.2778232
526.0115,0.2779864
526.4937,0.2781542
526.9758,0.2783267
527.4579,0.2785129
527.9401,0.2787154
528.4222,0.2789193
528.9043,0.2790948
529.3865,0.2792116
529.8686,0.2792566
530.3507,0.279244
530.8329,0.2792124
531.315,0.2792048
531.7971,0.2792498
532.2793,0.2793472
532.7614,0.2794718
533.2435,0.2795887
533.7257,0.2796778
534.2078,0.2797445
534.6899,0.2798197
535.1721,0.2799408
535.6542,0.2801306
536.1364,0.2803819
536.6185,0.2806582
537.1006,0.2809092
537.5828,0.2810946
538.0649,0.2812006
538.5471,0.2812428
539.0292,0.2812539
539.5114,0.2812635
539.9935,0.2812842
540.4756,0.2813072
540.9578,0.2813132
541.4399,0.2812888
541.922,0.2812372
542.4042,0.2811792
542.8863,0.2811402
543.3684,0.2811369
543.8506,0.2811663
544.3327,0.2812079
544.8148,0.2812353
545.297,0.2812323
545.7791,0.2811996
546.2612,0.2811534
546.7434,0.2811113
547.2255,0.2810782
547.7076,0.2810419
548.1898,0.280979
548.6719,0.2808717
549.1541,0.2807261
549.6362,0.2805755
550.1183,0.2804718
550.6005,0.2804624
551.0826,0.2805668
551.5648,0.2807661
552.0469,0.2810087
552.5291,0.2812321
553.0112,0.2813909
553.4933,0.2814738
553.9755,0.2815047
554.4576,0.2815244
554.9397,0.281569
555.4219,0.2816502
555.904,0.2817521
556.3861,0.2818465
556.8683,0.2819104
557.3504,0.2819419
557.8325,0.2819608
558.3147,0.2819958
558.7968,0.2820653
559.2789,0.2821638
559.7611,0.2822619
560.2432,0.282319
560.7253,0.2823069
561.2075,0.2822232
561.6896,0.2820931
562.1718,0.2819569
562.6539,0.2818485
563.136,0.2817802
563.6182,0.2817385
564.1003,0.2816957
564.5825,0.2816292
565.0646,0.281535
565.5468,0.2814324
566.0289,0.2813513
566.511,0.2813155
566.9932,0.2813277
567.4753,0.2813673
567.9574,0.2814007
568.4396,0.2814001
568.9217,0.2813591
569.4038,0.2812954
569.886,0.281242
570.3681,0.2812291
570.8502,0.2812673
571.3324,0.2813447
571.8145,0.2814313
572.2966,0.2814978
572.7787,0.2815273
573.2609,0.2815233
573.743,0.2815022
574.2252,0.2814808
574.7073,0.2814645
575.1895,0.2814429
575.6716,0.2813969
576.1537,0.2813122
576.6359,0.2811896
577.118,0.2810478
577.6002,0.2809153
578.0823,0.2808174
578.5644,0.2807634
579.0466,0.2807448
579.5287,0.2807407
580.0108,0.2807311
580.493,0.2807072
580.9751,0.2806746
581.4572,0.2806461
581.9394,0.2806313
582.4215,0.2806287
582.9036,0.2806247
583.3858,0.2806011
583.8679,0.2805483
584.35,0.2804727
584.8322,0.2803959
585.3143,0.280345
585.7964,0.2803382
586.2786,0.2803739
586.7607,0.2804316
587.2429,0.2804793
587.725,0.2804907
588.2072,0.2804557
588.6893,0.2803852
589.1714,0.2803005
589.6536,0.2802233
590.1357,0.2801619
590.6179,0.2801076
591.1,0.2800426
591.5821,0.2799507
592.0643,0.2798281
592.5464,0.2796854
593.0285,0.2795421
593.5107,0.2794155
593.9928,0.27931
594.4749,0.2792176
594.9571,0.2791203
595.4392,0.2790035
595.9213,0.2788633
596.4035,0.2787089
596.8856,0.2785551
597.3677,0.2784138
597.8499,0.2782866
598.332,0.2781633
598.8141,0.2780301
599.2963,0.2778798
599.7784,0.2777187
600.2606,0.2775659
600.7427,0.2774437
601.2249,0.2773669
601.707,0.2773324
602.1891,0.2773204
602.6713,0.2773025
603.1534,0.2772542
603.6356,0.2771665
604.1177,0.2770467
604.5998,0.2769116
605.082,0.2767782
605.5641,0.2766534
606.0462,0.2765332
606.5284,0.2764084
607.0105,0.2762754
607.4926,0.2761413
607.9748,0.2760241
608.4569,0.2759428
608.939,0.2759057
609.4212,0.2759029
609.9033,0.2759066
610.3854,0.2758823
610.8676,0.275804
611.3497,0.2756665
611.8318,0.2754878
612.314,0.2752996
612.7961,0.2751342
613.2783,0.2750094
613.7604,0.2749225
614.2426,0.2748549
614.7247,0.2747832
615.2068,0.274691
615.689,0.2745748
616.1711,0.274442
616.6533,0.2743022
617.1354,0.27416
617.6175,0.2740108
618.0997,0.273843
618.5818,0.2736482
619.0639,0.2734261
619.5461,0.2731866
620.0282,0.2729449
620.5103,0.2727131
620.9925,0.2724929
621.4746,0.272274
621.9567,0.2720405
622.4388,0.2717807
622.921,0.2714934
623.4031,0.2711912
623.8853,0.2708926
624.3674,0.2706131
624.8495,0.2703564
625.3317,0.2701128
625.8138,0.2698641
626.296,0.269595
626.7781,0.2693017
627.2603,0.2689955
627.7424,0.2686962
628.2245,0.2684237
628.7067,0.2681866
629.1888,0.2679792
629.6709,0.2677833
630.1531,0.2675788
630.6352,0.2673515
631.1173,0.2670994
631.5995,0.2668304
632.0816,0.266556
632.5637,0.2662836
633.0459,0.2660127
633.528,0.2657359
634.0101,0.2654449
634.4923,0.2651374
634.9744,0.2648187
635.4565,0.2645008
635.9387,0.2641967
636.4208,0.2639143
636.903,0.2636542
637.3851,0.2634117
637.8672,0.2631807
638.3494,0.2629583
638.8315,0.2627464
639.3137,0.2625481
639.7958,0.2623635
640.278,0.2621868
640.7601,0.2620072
641.2422,0.2618117
641.7244,0.2615942
642.2065,0.2613581
642.6886,0.2611158
643.1708,0.2608842
643.6529,0.260676
644.135,0.2604939
644.6172,0.2603304
645.0993,0.260172
