"V1","V2"
399.6916,0
400.1737,0.2037564
400.6559,0.1970652
401.138,0.1924351
401.6201,0.1894405
402.1023,0.1871691
402.5844,0.1846451
403.0666,0.1812083
403.5487,0.176752
404.0308,0.1716783
404.513,0.1667581
404.9951,0.1628747
405.4772,0.1607848
405.9594,0.1608799
406.4415,0.1630902
406.9236,0.166926
407.4058,0.171699
407.8879,0.1767083
408.3701,0.1813647
408.8522,0.185213
409.3343,0.1879448
409.8165,0.1894374
410.2986,0.1897844
410.7807,0.189266
411.2629,0.1882532
411.745,0.1870603
412.2271,0.1858679
412.7093,0.1847116
413.1914,0.183565
413.6736,0.182427
414.1557,0.181392
414.6378,0.1806324
415.12,0.1803413
415.6021,0.1806296
416.0843,0.1814698
416.5664,0.1826751
417.0485,0.1839442
417.5307,0.1849561
418.0128,0.1854773
418.4949,0.1854298
418.9771,0.1849065
419.4592,0.1840834
419.9413,0.1831442
420.4235,0.1822098
420.9056,0.1813433
421.3878,0.1805803
421.8699,0.1799763
422.352,0.1796189
422.8342,0.1796066
423.3163,0.1799988
423.7984,0.1807757
424.2806,0.1818216
424.7627,0.1829536
425.2448,0.1839809
425.727,0.1847688
426.2091,0.1852758
426.6913,0.1855487
427.1734,0.1856696
427.6555,0.1857086
428.1377,0.1856894
428.6198,0.1856011
429.102,0.1854335
429.5841,0.1852201
430.0662,0.1850497
430.5484,0.185049
431.0305,0.1853277
431.5126,0.1859334
431.9948,0.1868246
432.4769,0.1878827
432.959,0.1889624
433.4412,0.1899431
433.9233,0.1907658
434.4055,0.1914424
434.8876,0.192016
435.3697,0.1925256
435.8519,0.1929736
436.334,0.1933342
436.8161,0.1935819
437.2983,0.1937341
437.7804,0.1938651
438.2625,0.1940934
438.7447,0.1945316
439.2268,0.1952373
439.709,0.1961805
440.1911,0.1972554
440.6732,0.1983274
441.1554,0.1992981
441.6375,0.2001551
442.1196,0.2009802
442.6018,0.2019079
443.0839,0.2030601
443.566,0.2044792
444.0482,0.2061039
444.5303,0.2077838
445.0125,0.2093429
445.4946,0.2106438
445.9767,0.2116376
446.4589,0.2123645
446.941,0.2129264
447.4232,0.2134335
447.9053,0.2139689
448.3874,0.2145728
448.8696,0.2152522
449.3517,0.2160005
449.8338,0.2168182
450.316,0.2177078
450.7981,0.2186645
451.2802,0.2196573
451.7624,0.2206249
452.2445,0.2214855
452.7267,0.2221651
453.2088,0.2226192
453.6909,0.2228463
454.1731,0.2228743
454.6552,0.2227393
455.1373,0.2224611
455.6195,0.2220377
456.1016,0.221456
456.5837,0.2207128
457.0659,0.2198322
457.548,0.2188689
458.0302,0.2178911
458.5123,0.2169577
458.9944,0.2160954
459.4766,0.2152963
459.9587,0.2145252
460.4409,0.2137431
460.923,0.2129213
461.4051,0.2120495
461.8873,0.2111237
462.3694,0.2101395
462.8515,0.2090788
463.3337,0.2079191
463.8158,0.2066472
464.2979,0.2052791
464.7801,0.2038666
465.2622,0.2024961
465.7444,0.2012605
466.2265,0.2002393
466.7086,0.1994717
467.1908,0.1989489
467.6729,0.1986167
468.155,0.1983926
468.6372,0.1981806
469.1193,0.197892
469.6014,0.1974555
470.0836,0.1968291
470.5657,0.1960107
471.0479,0.1950454
471.53,0.1940313
472.0121,0.1931052
472.4943,0.1924129
472.9764,0.1920664
473.4586,0.1921027
473.9407,0.1924663
474.4228,0.1930161
474.905,0.1935672
475.3871,0.1939467
475.8692,0.1940457
476.3514,0.1938431
476.8335,0.1933995
477.3156,0.1928168
477.7978,0.1921929
478.2799,0.191589
478.7621,0.1910231
479.2442,0.1904872
479.7263,0.1899772
480.2085,0.1895125
480.6906,0.1891402
481.1727,0.1889095
481.6549,0.1888448
482.137,0.1889208
482.6191,0.1890638
483.1013,0.1891753
483.5834,0.1891724
484.0656,0.1890201
484.5477,0.188747
485.0298,0.1884286
485.512,0.188154
485.9941,0.1879882
486.4763,0.1879488
486.9584,0.1880053
487.4405,0.1881019
487.9227,0.1881845
488.4048,0.1882266
488.8869,0.1882329
489.3691,0.1882307
489.8512,0.1882482
490.3333,0.188298
490.8155,0.188372
491.2976,0.1884473
491.7798,0.1884989
492.2619,0.1885123
492.744,0.188485
493.2262,0.1884234
493.7083,0.1883345
494.1904,0.1882206
494.6726,0.1880822
495.1547,0.1879259
495.6368,0.1877703
496.119,0.1876484
496.6011,0.1875988
497.0833,0.1876538
497.5654,0.1878255
498.0475,0.1881025
498.5297,0.1884541
499.0118,0.1888427
499.494,0.1892356
499.9761,0.1896119
500.4582,0.1899583
500.9404,0.1902615
501.4225,0.1905
501.9046,0.1906461
502.3868,0.1906744
502.8689,0.1905782
503.351,0.1903797
503.8332,0.1901292
504.3153,0.1898917
504.7975,0.1897269
505.2796,0.1896693
505.7617,0.1897206
506.2439,0.1898552
506.726,0.1900376
507.2081,0.1902401
507.6903,0.1904546
508.1724,0.1906901
508.6545,0.1909609
509.1367,0.1912708
509.6188,0.1916036
510.101,0.1919266
510.5831,0.1922037
511.0652,0.1924119
511.5474,0.1925525
512.0295,0.1926501
512.5117,0.1927407
512.9938,0.1928531
513.476,0.1929964
513.9581,0.1931551
514.4402,0.1932995
514.9224,0.1933981
515.4045,0.1934346
515.8866,0.1934135
516.3688,0.193358
516.8509,0.1933
517.333,0.1932684
517.8152,0.1932807
518.2973,0.1933421
518.7794,0.1934472
519.2616,0.1935869
519.7437,0.1937503
520.2258,0.1939283
520.708,0.1941105
521.1901,0.1942876
521.6722,0.1944507
522.1544,0.1945945
522.6365,0.194719
523.1187,0.1948294
523.6008,0.1949312
524.0829,0.1950283
524.5651,0.195119
525.0472,0.1951986
525.5294,0.195264
526.0115,0.19532
526.4937,0.1953806
526.9758,0.1954666
527.4579,0.1955967
527.9401,0.195778
528.4222,0.1960005
528.9043,0.1962392
529.3865,0.1964625
529.8686,0.1966448
530.3507,0.1967768
530.8329,0.1968677
531.315,0.1969378
531.7971,0.1970087
532.2793,0.1970909
532.7614,0.1971796
533.2435,0.197259
533.7257,0.1973123
534.2078,0.1973321
534.6899,0.1973253
535.1721,0.1973111
535.6542,0.1973126
536.1364,0.1973459
536.6185,0.1974154
537.1006,0.1975132
537.5828,0.1976268
538.0649,0.1977458
538.5471,0.1978679
539.0292,0.1979958
539.5114,0.1981335
539.9935,0.1982789
540.4756,0.1984206
540.9578,0.1985425
541.4399,0.1986304
541.922,0.1986804
542.4042,0.1987036
542.8863,0.198721
543.3684,0.1987572
543.8506,0.198828
544.3327,0.198936
544.8148,0.1990701
545.297,0.199212
545.7791,0.1993458
546.2612,0.199464
546.7434,0.1995689
547.2255,0.199669
547.7076,0.1997718
548.1898,0.1998793
548.6719,0.1999866
549.1541,0.2000868
549.6362,0.2001753
550.1183,0.2002553
550.6005,0.2003364
551.0826,0.2004308
551.5648,0.2005479
552.0469,0.2006896
552.5291,0.2008501
553.0112,0.2010199
553.4933,0.2011897
553.9755,0.201356
554.4576,0.2015182
554.9397,0.2016795
555.4219,0.201841
555.904,0.2019994
556.3861,0.20215
556.8683,0.2022874
557.3504,0.2024099
557.8325,0.202521
558.3147,0.2026265
558.7968,0.2027318
559.2789,0.2028373
559.7611,0.2029386
560.2432,0.2030275
560.7253,0.2030989
561.2075,0.203153
561.6896,0.2031977
562.1718,0.2032443
562.6539,0.2033025
563.136,0.203376
563.6182,0.2034608
564.1003,0.2035491
564.5825,0.2036357
565.0646,0.2037222
565.5468,0.2038194
566.0289,0.2039418
566.511,0.2041017
566.9932,0.2043014
567.4753,0.2045316
567.9574,0.2047733
568.4396,0.2050072
568.9217,0.2052204
569.4038,0.2054111
569.886,0.2055872
570.3681,0.2057609
570.8502,0.2059404
571.3324,0.2061262
571.8145,0.2063116
572.2966,0.2064885
572.7787,0.2066521
573.2609,0.2068079
573.743,0.2069687
574.2252,0.2071503
574.7073,0.2073651
575.1895,0.2076168
575.6716,0.2078999
576.1537,0.2082046
576.6359,0.2085226
577.118,0.208852
577.6002,0.209197
578.0823,0.209566
578.5644,0.2099642
579.0466,0.2103907
579.5287,0.2108367
580.0108,0.2112887
580.493,0.2117345
580.9751,0.2121672
581.4572,0.2125871
581.9394,0.2130009
582.4215,0.2134171
582.9036,0.2138444
583.3858,0.2142887
583.8679,0.2147551
584.35,0.2152492
584.8322,0.2157769
585.3143,0.2163433
585.7964,0.2169501
586.2786,0.217593
586.7607,0.2182617
587.2429,0.2189433
587.725,0.2196263
588.2072,0.2203043
588.6893,0.2209781
589.1714,0.2216506
589.6536,0.2223244
590.1357,0.2229955
590.6179,0.223653
591.1,0.2242824
591.5821,0.2248712
592.0643,0.2254147
592.5464,0.2259176
593.0285,0.2263907
593.5107,0.2268449
593.9928,0.227284
594.4749,0.2277032
594.9571,0.2280894
595.4392,0.22843
595.9213,0.228719
596.4035,0.228962
596.8856,0.2291745
597.3677,0.2293771
597.8499,0.2295874
598.332,0.2298145
598.8141,0.2300578
599.2963,0.230311
599.7784,0.2305664
600.2606,0.2308218
600.7427,0.2310792
601.2249,0.2313458
601.707,0.2316289
602.1891,0.2319335
602.6713,0.2322627
603.1534,0.2326183
603.6356,0.2330043
604.1177,0.2334272
604.5998,0.2338927
605.082,0.2344025
605.5641,0.2349492
606.0462,0.2355148
606.5284,0.2360739
607.0105,0.2366007
607.4926,0.2370745
607.9748,0.2374869
608.4569,0.23784
608.939,0.2381423
609.4212,0.2384022
609.9033,0.2386217
