"V1","V2"
399.6916,0
400.1737,0.08159331
400.6559,0.07885066
401.138,0.07767556
401.6201,0.07840025
402.1023,0.081034
402.5844,0.08523203
403.0666,0.09039783
403.5487,0.0958583
404.0308,0.1010144
404.513,0.1054031
404.9951,0.1087006
405.4772,0.1107366
405.9594,0.1115274
406.4415,0.1113016
406.9236,0.1104586
407.4058,0.1094582
407.8879,0.1086947
408.3701,0.1084087
408.8522,0.1086656
409.3343,0.1093774
409.8165,0.1103586
410.2986,0.1113813
410.7807,0.1122248
411.2629,0.112694
411.745,0.1126336
412.2271,0.1119396
412.7093,0.1105912
413.1914,0.108701
413.6736,0.1065412
414.1557,0.1045102
414.6378,0.103027
415.12,0.1024136
415.6021,0.1027964
416.0843,0.1040687
416.5664,0.1059215
417.0485,0.1079288
417.5307,0.1096637
418.0128,0.1108308
418.4949,0.1113406
418.9771,0.1113087
419.4592,0.1109754
419.9413,0.1106
420.4235,0.1103844
420.9056,0.1104406
421.3878,0.1108057
421.8699,0.1114745
422.352,0.1124228
422.8342,0.1136113
423.3163,0.1149762
423.7984,0.1164113
424.2806,0.1177701
424.7627,0.1188885
425.2448,0.1196291
425.727,0.119926
426.2091,0.1198011
426.6913,0.1193487
427.1734,0.1186947
427.6555,0.117956
428.1377,0.1172182
428.6198,0.1165413
429.102,0.1159746
429.5841,0.1155728
430.0662,0.1153912
430.5484,0.1154662
431.0305,0.1157932
431.5126,0.1163094
431.9948,0.1169024
432.4769,0.1174423
432.959,0.1178272
433.4412,0.118021
433.9233,0.1180642
434.4055,0.1180538
434.8876,0.118095
435.3697,0.1182565
435.8519,0.1185427
436.334,0.118901
436.8161,0.1192516
437.2983,0.1195329
437.7804,0.1197273
438.2625,0.1198662
438.7447,0.1200074
439.2268,0.1202021
439.709,0.1204704
440.1911,0.120796
440.6732,0.1211399
441.1554,0.1214608
441.6375,0.1217351
442.1196,0.1219581
442.6018,0.1221358
443.0839,0.1222668
443.566,0.1223347
444.0482,0.122313
444.5303,0.1221825
445.0125,0.1219519
445.4946,0.1216633
445.9767,0.1213829
446.4589,0.121177
446.941,0.1210857
447.4232,0.1211083
447.9053,0.1212096
448.3874,0.1213399
448.8696,0.1214613
449.3517,0.1215668
449.8338,0.1216783
450.316,0.1218318
450.7981,0.1220537
451.2802,0.1223444
451.7624,0.1226769
452.2445,0.123011
452.7267,0.1233144
453.2088,0.1235778
